mois,jour,heure,consommation,prevision_1,prevision_0,fioul,charbon,gaz,nucleaire,eolien,solaire,hydraulique,pompage,bioenergies,echanges_physiques,taux_co2,echanges_angleterre,echanges_espagne,echanges_italie,echanges_suisse,echanges_allemagne_belgique,fioul_tac,fioul_cogen,fioul_autres,gaz_tac,gaz_cogen,gaz_ccg,gaz_autres,hydro_ecluses,hydro_lacs,hydro_turbines,bio_dechets,bio_biomasse,bio_biogaz
5,25,16,81813.0,161100.0,159550.0,290.0,1.0,1357.0,72698.0,5338.0,9344.0,11885.0,-4479.0,1979.0,-16599.0,24.0,-4000.0,-3800.0,-5400.0,960.0,-5418.0,25.0,174.0,84.0,8.0,777.0,470.0,102.0,9180.0,2406.0,299.0,973.0,536.0,470.0
5,25,17,80631.0,159600.0,158100.0,277.0,8.0,1345.0,72207.0,5531.0,7756.0,12517.0,-5044.0,1993.0,-15960.0,25.0,-4000.0,-3800.0,-5400.0,420.0,-2416.0,13.0,173.0,84.0,8.0,770.0,464.0,102.0,9230.0,2592.0,696.0,986.0,532.0,474.0
5,25,18,81760.0,164550.0,164000.0,275.0,12.0,1352.0,71916.0,5739.0,5611.0,13176.0,-3200.0,2015.0,-15138.0,25.0,-4000.0,-4900.0,-4924.0,940.0,-818.0,12.0,171.0,84.0,8.0,772.0,470.0,102.0,9675.0,2832.0,668.0,988.0,557.0,470.0
5,25,19,83995.0,170300.0,169900.0,277.0,5.0,1372.0,73088.0,5664.0,3048.0,15927.0,-1917.0,2051.0,-15519.0,24.0,-4000.0,-4900.0,-4924.0,1324.0,-2501.0,12.0,172.0,85.0,8.0,791.0,472.0,102.0,10629.0,4171.0,1126.0,995.0,584.0,471.0
5,25,20,83216.0,167950.0,167550.0,276.0,-1.0,1396.0,73618.0,5529.0,884.0,16850.0,-155.0,2083.0,-17265.0,24.0,-4000.0,-4900.0,-4924.0,1038.0,-4332.0,12.0,172.0,84.0,8.0,812.0,474.0,102.0,11073.0,4362.0,1414.0,1012.0,597.0,473.0
5,25,21,81747.0,166550.0,166150.0,277.0,-1.0,1404.0,73271.0,6496.0,85.0,17236.0,-227.0,2136.0,-18930.0,24.0,-4000.0,-3800.0,-4924.0,646.0,-6996.0,12.0,171.0,86.0,8.0,819.0,473.0,102.0,11134.0,4368.0,1733.0,1029.0,634.0,473.0
5,25,22,85469.0,174100.0,173700.0,276.0,-1.0,1380.0,73308.0,8589.0,-2.0,17658.0,-152.0,2155.0,-17745.0,24.0,-4000.0,-3800.0,-4924.0,1602.0,-3654.0,14.0,169.0,86.0,8.0,812.0,457.0,102.0,11187.0,4677.0,1794.0,1029.0,658.0,467.0
5,25,23,92242.0,186000.0,185850.0,276.0,-3.0,1384.0,73283.0,10015.0,-2.0,19746.0,-155.0,2188.0,-14491.0,23.0,-4000.0,-3800.0,-4446.0,2034.0,-1928.0,14.0,170.0,86.0,8.0,818.0,456.0,102.0,11395.0,4930.0,3422.0,1049.0,674.0,464.0
5,26,0,88378.0,174600.0,169500.0,277.0,-8.0,1401.0,72485.0,10236.0,-2.0,16467.0,-578.0,2213.0,-14111.0,24.0,-3406.0,-3800.0,-4692.0,1034.0,-2880.0,14.0,169.0,86.0,8.0,821.0,470.0,102.0,10850.0,4067.0,1550.0,1060.0,686.0,465.0
5,26,1,79264.0,163150.0,157650.0,277.0,-10.0,1382.0,70990.0,9969.0,-2.0,13566.0,-3190.0,2216.0,-15933.0,26.0,-3406.0,-3800.0,-4692.0,158.0,-2478.0,14.0,169.0,87.0,8.0,804.0,468.0,102.0,9913.0,3056.0,597.0,1067.0,684.0,464.0
