mois,jour,heure,perte
2,22,18,1439
2,22,19,1543
2,22,20,1510
2,22,21,1438
2,22,22,1431
2,22,23,1490
2,23,0,1445
2,23,1,1475
2,23,2,1436
2,23,3,1378
2,23,4,1388
2,23,5,1377
2,23,6,1439
2,23,7,1563
2,23,8,1580
2,23,9,1616
2,23,10,1603
2,23,11,1587
2,23,12,1588
2,23,13,1524
2,23,14,1511
2,23,15,1474
2,23,16,1451
2,23,17,1472
2,23,18,1505
2,23,19,1629
2,23,20,1551
2,23,21,1423
2,23,22,1453
2,23,23,1462
2,24,0,1383
2,24,1,1328
2,24,2,1316
2,24,3,1295
2,24,4,1297
2,24,5,1339
2,24,6,1416
2,24,7,1547
2,24,8,1597
2,24,9,1644
2,24,10,1611
2,24,11,1583
2,24,12,1555
2,24,13,1500
2,24,14,1482
2,24,15,1462
2,24,16,1492
2,24,17,1755
2,24,18,1755
2,24,19,1794
2,24,20,1625
2,24,21,1515
2,24,22,1576
2,24,23,1628
2,25,0,1516
2,25,1,1525
2,25,2,1546
2,25,3,1613
2,25,4,1626
2,25,5,1622
2,25,6,1793
2,25,7,1888
2,25,8,1925
2,25,9,1958
2,25,10,1737
2,25,11,1674
2,25,12,1617
2,25,13,1507
2,25,14,1460
2,25,15,1459
2,25,16,1482
2,25,17,1661
2,25,18,1632
2,25,19,1633
2,25,20,1508
2,25,21,1480
2,25,22,1508
2,25,23,1501
2,26,0,1432
2,26,1,1386
2,26,2,1381
2,26,3,1392
2,26,4,1431
2,26,5,1434
2,26,6,1584
2,26,7,1693
2,26,8,1669
2,26,9,1649
2,26,10,1587
2,26,11,1523
2,26,12,1459
2,26,13,1406
2,26,14,1436
2,26,15,1558
2,26,16,1627
2,26,17,1699
2,26,18,1687
2,26,19,1725
2,26,20,1708
2,26,21,1533
2,26,22,1567
2,26,23,1580
2,27,0,1521
2,27,1,1396
2,27,2,1348
2,27,3,1340
2,27,4,1307
2,27,5,1303
2,27,6,1299
2,27,7,1378
2,27,8,1449
2,27,9,1483
2,27,10,1485
2,27,11,1480
